"PLACE","YEAR","IDNO","DAYNR","PERIOD","TYPE","SPECIES","SEX","MOT/CALF","SIZE","SIZECAT","DEPTH1","DEPTH2","SURF","SURF01","SURF02","SUM","BIN01","BIN02","BIN03","BIN04","BIN05","BIN06","BIN07","BIN08","BIN09","BIN10","BIN11","BIN12","BIN13","BIN14","DIVES","DIST","TAD","SPEED","DIVE/H/6H","DIVE/H/24H","MAXDEPTH","WARN"
"CRE",2000,20691,239.25,0.25,2,"NW",2,0,400,2,8,8,,,,239,238,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,239.50,0.50,0,"NW",2,0,400,2,8,8,10350,47.917,47.917,56,18,11,8,19,0,0,0,0,0,0,0,0,0,0,,,,,9.333,,,
"CRE",2000,20691,239.50,0.50,1,"NW",2,0,400,2,8,8,,,,56,15,8,9,12,11,1,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,239.50,0.50,2,"NW",2,0,400,2,8,8,,,,539,206,162,119,52,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,239.75,0.75,0,"NW",2,0,400,2,8,8,5040,23.333,23.333,63,47,9,3,4,0,0,0,0,0,0,0,0,0,0,,,,,10.500,,,
"CRE",2000,20691,239.75,0.75,1,"NW",2,0,400,2,8,8,,,,63,32,13,12,5,1,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,239.75,0.75,2,"NW",2,0,400,2,8,8,,,,270,236,13,15,6,0,0,0,0,0,0,0,0,0,0,256,,24,,,10.667,112,
"CRE",2000,20691,240.00,0.00,0,"NW",2,0,400,2,8,8,,,,25,10,9,2,0,4,0,0,0,0,0,0,0,0,0,,,,,4.167,,,
"CRE",2000,20691,240.00,0.00,1,"NW",2,0,400,2,8,8,,,,25,5,3,4,7,5,1,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,240.00,0.00,2,"NW",2,0,400,2,8,8,,,,431,252,162,17,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,240.25,0.25,0,"NW",2,0,400,2,8,8,9090,42.083,42.083,38,16,3,12,7,0,0,0,0,0,0,0,0,0,0,,,,,6.333,,,
"CRE",2000,20691,240.25,0.25,1,"NW",2,0,400,2,8,8,,,,38,6,8,5,8,9,2,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,240.25,0.25,2,"NW",2,0,400,2,8,8,,,,431,243,108,73,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,240.50,0.50,0,"NW",2,0,400,2,8,8,5850,27.083,27.083,56,18,11,8,19,0,0,0,0,0,0,0,0,0,0,,,,,9.333,,,
"CRE",2000,20691,240.50,0.50,1,"NW",2,0,400,2,8,8,,,,56,15,8,9,12,11,1,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,240.50,0.50,2,"NW",2,0,400,2,8,8,,,,539,206,162,119,52,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,240.75,0.75,0,"NW",2,0,400,2,8,8,16200,75.000,75.000,63,21,10,22,6,4,0,0,0,0,0,0,0,0,0,,,,,10.500,,,
"CRE",2000,20691,240.75,0.75,1,"NW",2,0,400,2,8,8,,,,63,32,13,12,5,1,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,240.75,0.75,2,"NW",2,0,400,2,8,8,,,,539,246,178,41,47,27,0,0,0,0,0,0,0,0,0,182,,24,,,7.583,88,
"CRE",2000,20691,241.00,0.00,0,"NW",2,0,400,2,8,8,,,,52,14,16,22,0,0,0,0,0,0,0,0,0,0,0,,,,,8.667,,,
"CRE",2000,20691,241.00,0.00,1,"NW",2,0,400,2,8,8,,,,52,7,13,12,12,7,1,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,241.00,0.00,2,"NW",2,0,400,2,8,8,,,,431,252,162,17,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,241.25,0.25,0,"NW",2,0,400,2,8,8,8190,37.917,37.917,19,9,3,1,6,0,0,0,0,0,0,0,0,0,0,,,,,3.167,,,
"CRE",2000,20691,241.25,0.25,1,"NW",2,0,400,2,8,8,,,,19,3,3,6,6,1,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,241.25,0.25,2,"NW",2,0,400,2,8,8,,,,269,229,21,11,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,241.50,0.50,0,"NW",2,0,400,2,8,8,5850,27.083,27.083,43,15,11,11,6,0,0,0,0,0,0,0,0,0,0,,,,,7.167,,,
"CRE",2000,20691,241.50,0.50,1,"NW",2,0,400,2,8,8,,,,43,11,3,7,14,8,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,241.50,0.50,2,"NW",2,0,400,2,8,8,,,,360,229,103,19,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,241.75,0.75,0,"NW",2,0,400,2,8,8,,,,44,4,20,16,4,0,0,0,0,0,0,0,0,0,0,,,,,7.333,,,
"CRE",2000,20691,241.75,0.75,1,"NW",2,0,400,2,8,8,,,,44,4,6,14,19,1,0,0,0,0,0,0,0,0,0,,,,,,,,
